Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Comarcas	Tamaño de las explotaciones según UGT	Especies animales	Tipos de ganado	Tipos ganado bovino	Características básicas de la explotación	Tipo de dato	Total
Total Nacional	07 Castilla y León	47 Valladolid		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	6.526.270
Total Nacional	07 Castilla y León	49 Zamora		Todas las explotaciones	1 Bovinos			Cabezas	Valor	123.599
Total Nacional	07 Castilla y León	49 Zamora		Todas las explotaciones	2 Ovinos			Cabezas	Valor	629.199
Total Nacional	07 Castilla y León	49 Zamora		Todas las explotaciones	4 Porcinos			Cabezas	Valor	481.234
Total Nacional	07 Castilla y León	49 Zamora		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	1.138.926
Total Nacional	08 Castilla - La Mancha			Todas las explotaciones	1 Bovinos			Cabezas	Valor	488.994
Total Nacional	08 Castilla - La Mancha			Todas las explotaciones	2 Ovinos			Cabezas	Valor	2.444.336
Total Nacional	08 Castilla - La Mancha			Todas las explotaciones	4 Porcinos			Cabezas	Valor	2.784.806
Total Nacional	08 Castilla - La Mancha			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	26.791.741
Total Nacional	08 Castilla - La Mancha	02 Albacete		Todas las explotaciones	1 Bovinos			Cabezas	Valor	14.653
Total Nacional	08 Castilla - La Mancha	02 Albacete		Todas las explotaciones	2 Ovinos			Cabezas	Valor	473.172
Total Nacional	08 Castilla - La Mancha	02 Albacete		Todas las explotaciones	4 Porcinos			Cabezas	Valor	407.159
Total Nacional	08 Castilla - La Mancha	02 Albacete		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	3.053.964
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real		Todas las explotaciones	1 Bovinos			Cabezas	Valor	112.804
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real		Todas las explotaciones	2 Ovinos			Cabezas	Valor	965.917
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real		Todas las explotaciones	4 Porcinos			Cabezas	Valor	79.243
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	1.039.587
Total Nacional	08 Castilla - La Mancha	16 Cuenca		Todas las explotaciones	1 Bovinos			Cabezas	Valor	18.133
Total Nacional	08 Castilla - La Mancha	16 Cuenca		Todas las explotaciones	2 Ovinos			Cabezas	Valor	377.981
Total Nacional	08 Castilla - La Mancha	16 Cuenca		Todas las explotaciones	4 Porcinos			Cabezas	Valor	395.132
Total Nacional	08 Castilla - La Mancha	16 Cuenca		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	6.902.678
Total Nacional	08 Castilla - La Mancha	19 Guadalajara		Todas las explotaciones	1 Bovinos			Cabezas	Valor	15.963
Total Nacional	08 Castilla - La Mancha	19 Guadalajara		Todas las explotaciones	2 Ovinos			Cabezas	Valor	182.871
Total Nacional	08 Castilla - La Mancha	19 Guadalajara		Todas las explotaciones	4 Porcinos			Cabezas	Valor	19.015
Total Nacional	08 Castilla - La Mancha	19 Guadalajara		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	4.792.539
Total Nacional	08 Castilla - La Mancha	45 Toledo		Todas las explotaciones	1 Bovinos			Cabezas	Valor	327.441
Total Nacional	08 Castilla - La Mancha	45 Toledo		Todas las explotaciones	2 Ovinos			Cabezas	Valor	444.395
Total Nacional	08 Castilla - La Mancha	45 Toledo		Todas las explotaciones	4 Porcinos			Cabezas	Valor	1.884.257
Total Nacional	08 Castilla - La Mancha	45 Toledo		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	11.002.973
Total Nacional	09 Cataluña			Todas las explotaciones	1 Bovinos			Cabezas	Valor	676.097
