STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,lsu,Size classes of total livestock units (LSU),uaarea,Utilised agricultural area,animals,Live animals,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),FI,Finland,2013,,11980560,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),FI,Finland,2016,,15388980,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),FI,Finland,2020,,13316010,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),FR,France,2005,,283326640,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),FR,France,2007,,275782950,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),FR,France,2010,,296133570,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),FR,France,2013,,297077260,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),FR,France,2016,,308139990,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),FR,France,2020,,298340610,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),FR,France,2023,,285409510,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),HR,Croatia,2007,,8255290,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),HR,Croatia,2010,,13474130,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),HR,Croatia,2013,,13630040,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),HR,Croatia,2016,,10388550,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),HR,Croatia,2020,,12048980,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),HR,Croatia,2023,,10539950,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),HU,Hungary,2005,,41595990,,,,,
